iteration,value_loss,policy_loss,wins,draws,losses
0,0.4349844,0.30833796,15,0,1
1,0.39240718,0.20124151,12,0,4
2,0.34977096,0.14516647,13,0,3
3,0.29079956,0.12313432,15,1,0
4,0.23911501,0.119224705,11,4,1
5,0.19713458,0.11640667,13,1,2
6,0.15566693,0.074625686,8,7,1
7,0.08051109,0.040895775,5,11,0
8,0.015624085,0.012544069,0,16,0
9,0.008574988,0.005346474,0,16,0
10,0.0034610028,0.0027831946,0,16,0
11,0.0026847078,0.0025169346,1,15,0
12,0.0032678584,0.0027538885,1,15,0
13,0.003169624,0.0025721863,2,13,1
14,0.0034392853,0.0022211708,4,11,1
15,0.0031137136,0.0019956715,0,16,0
16,0.0026978492,0.0020609137,0,15,1
17,0.0032010123,0.0020136626,1,15,0
18,0.0035161877,0.0021853992,1,13,2
19,0.003154891,0.0021833126,1,14,1
