iteration,value_loss,policy_loss,wins,draws,losses
0,0.4351139,0.3084886,15,0,1
1,0.39777225,0.22808854,13,0,3
2,0.3590977,0.13487099,13,1,2
3,0.28779495,0.11426402,12,0,4
4,0.23421112,0.124462225,10,1,5
5,0.18976149,0.104341336,14,1,1
6,0.14468668,0.075366676,15,1,0
7,0.13080238,0.055677317,10,6,0
8,0.034833867,0.019587351,2,14,0
9,0.0068749245,0.0053780326,1,15,0
10,0.014585352,0.0050373576,8,7,1
11,0.003814901,0.0070411772,8,1,7
12,0.0017472908,0.0018986505,8,1,7
13,0.005405852,0.0039163,11,3,2
14,0.09007962,0.04311182,8,5,3
15,0.14028741,0.053889845,10,6,0
16,0.064455576,0.030979924,9,4,3
17,0.056372393,0.02457827,9,5,2
18,0.12440841,0.03158284,7,9,0
19,0.03670594,0.018354686,8,7,1
