iteration,value_loss,policy_loss,wins,draws,losses
0,0.43566212,0.30711585,15,0,1
1,0.39036408,0.21699752,16,0,0
2,0.3311229,0.13716088,14,1,1
3,0.29089192,0.149875,10,3,3
4,0.25854135,0.16015029,10,2,4
5,0.23272943,0.15642563,11,1,4
6,0.22183897,0.1572606,10,1,5
7,0.21179625,0.15226807,10,4,2
8,0.200626,0.1477368,7,7,2
9,0.1808566,0.13951215,6,6,4
10,0.16307235,0.12908357,7,8,1
11,0.14828324,0.12018612,2,10,4
12,0.13521403,0.11377465,2,12,2
13,0.12512648,0.10547804,1,14,1
14,0.11381822,0.10154272,6,10,0
15,0.10998013,0.10029784,6,8,2
16,0.11206738,0.10035546,7,2,7
17,0.11279745,0.10215989,8,0,8
18,0.11099249,0.1003391,8,1,7
19,0.11177947,0.101825856,6,2,8
